u,i,ts
41,35,20
41,35,40
41,35,60
41,35,80
41,35,100
41,35,120
41,35,140
41,35,160
41,35,180
41,35,200
41,35,220
41,35,240
41,35,260
41,35,280
41,35,300
41,35,320
41,35,340
41,35,360
41,35,380
41,35,400
41,35,420
41,35,440
41,35,460
41,35,480
41,35,500
41,35,520
41,35,540
41,35,560
41,35,580
41,35,600
41,35,620
41,35,640
41,35,660
41,35,680
41,35,700
41,35,720
41,35,740
41,35,760
41,35,780
41,35,800
41,35,820
41,35,840
41,35,860
41,35,880
41,35,900
41,35,920
41,35,940
41,35,960
41,35,980
41,35,1000
41,35,1020
41,35,1040
41,35,1060
41,35,1080
41,35,1100
41,35,1120
41,35,1140
41,35,1160
41,35,1180
41,35,1200
41,35,1220
41,35,1240
41,35,1260
41,35,1280
41,35,1300
41,35,1320
41,35,1340
41,35,1360
41,35,1380
41,35,1400
41,35,1420
41,35,1440
41,35,1460
41,35,1480
41,35,1500
41,35,1520
41,35,1540
41,35,1560
41,35,1580
41,35,1600
41,35,1620
41,35,1640
41,35,1660
41,35,1680
41,35,1700
41,35,1720
41,35,1740
41,35,1760
41,35,1780
41,35,1800
41,35,1920
41,35,1940
41,35,1960
41,35,1980
41,35,2000
41,35,2020
41,35,2040
41,35,2060
41,35,2080
41,35,2100
36,40,2120
29,31,2140
41,35,2140
41,35,2160
41,35,2180
36,40,2200
41,35,2220
41,35,2240
36,40,2260
41,35,2280
41,35,2300
41,35,2320
41,35,2340
41,35,2360
41,35,2380
41,35,2400
41,35,2420
41,35,2440
41,35,2460
41,35,2480
41,35,2500
41,35,2520
41,35,2540
41,35,2560
41,35,2580
41,35,2600
36,40,2620
41,35,2640
41,35,2660
41,35,2680
41,35,2700
41,35,2720
41,35,2740
41,35,2760
41,35,2780
41,35,2800
41,35,2820
41,35,2840
41,35,2860
41,35,2880
36,40,2900
41,35,2920
41,35,2940
41,35,2960
41,35,2980
41,35,3000
41,35,3020
41,35,3040
41,35,3060
41,35,3080
41,35,3100
41,35,3120
41,35,3140
41,35,3160
41,35,3180
41,35,3200
41,35,3220
41,35,3240
41,35,3260
41,35,3280
41,35,3300
41,35,3320
41,35,3340
41,35,3360
41,35,3380
41,35,3400
41,35,3420
41,35,3440
41,35,3460
41,35,3480
41,35,3500
41,35,3520
36,40,3540
41,35,3560
41,35,3580
41,35,3600
41,35,3620
41,35,3640
41,35,3660
41,35,3680
41,35,3700
29,31,3700
41,35,3720
29,31,3720
29,31,3740
36,40,3740
41,35,3760
41,35,3780
41,35,3800
41,35,3820
32,28,3820
41,35,3840
29,31,3860
41,35,3860
41,35,3880
32,28,3880
29,31,3900
36,40,3900
41,35,3920
41,35,3940
36,40,3960
36,40,3980
41,35,4000
41,35,4020
41,31,4020
32,35,4020
41,35,4040
41,28,4060
41,35,4060
41,28,4080
41,35,4080
41,35,4100
41,35,4120
41,35,4140
36,28,4140
29,40,4160
41,35,4160
29,40,4180
29,35,4180
36,40,4180
41,28,4200
41,35,4200
29,35,4200
41,28,4220
41,35,4220
36,40,4240
29,40,4260
29,35,4260
36,40,4260
41,28,4280
29,40,4300
36,31,4320
36,31,4340
41,28,4380
36,28,4380
29,40,4400
29,88,4400
29,40,4420
29,31,4420
29,40,4440
29,31,4440
29,88,4440
41,28,4460
29,40,4500
32,8,4520
8,28,4520
32,40,4540
32,28,4540
8,28,4540
29,40,4540
36,40,4540
32,40,4560
32,10,4560
32,10,4580
8,28,4580
32,28,4600
32,10,4600
29,40,4600
32,10,4620
32,8,4620
8,28,4620
10,28,4620
32,8,4640
32,10,4640
10,8,4640
8,40,4640
8,28,4640
32,10,4660
32,10,4680
41,28,4680
41,63,4680
64,40,4700
8,35,4700
41,31,4700
64,40,4720
64,28,4720
64,31,4720
8,35,4720
64,40,4740
64,28,4740
64,31,4740
41,28,4740
64,35,4760
64,31,4760
36,31,4760
32,35,4780
32,28,4800
32,35,4800
29,31,4820
32,35,4840
1,35,4840
32,7,4860
32,14,4860
7,40,4860
41,28,4880
41,7,4880
7,28,4880
32,14,4880
7,28,4900
7,35,4900
7,31,4900
29,35,4900
41,35,4900
14,31,4900
7,28,4920
29,31,4920
32,14,4920
7,31,4940
14,31,4940
29,31,4960
14,31,4960
32,28,4980
32,36,4980
32,14,4980
29,14,4980
86,31,5000
37,31,5000
37,1,5000
29,31,5000
29,1,5000
14,31,5000
1,28,5020
29,31,5020
2,31,5020
14,31,5020
2,31,5040
14,31,5040
2,31,5060
14,31,5060
2,14,5080
14,31,5080
14,31,5100
32,2,5120
32,14,5120
37,35,5120
29,47,5120
2,14,5120
48,28,5140
37,35,5140
14,31,5140
77,14,5160
29,31,5160
14,31,5160
77,31,5180
29,31,5180
29,14,5180
14,31,5180
77,28,5200
77,31,5200
29,31,5200
29,14,5200
14,31,5200
77,28,5220
77,31,5220
1,35,5220
29,31,5220
29,14,5220
14,31,5220
77,31,5240
77,14,5240
1,35,5240
14,31,5240
77,31,5260
1,35,5260
14,31,5260
32,77,5280
32,14,5300
77,0,5320
0,28,5320
29,31,5340
29,0,5340
14,31,5340
77,0,5360
32,28,5380
32,107,5380
107,46,5380
77,0,5380
47,28,5380
107,46,5400
29,31,5400
64,35,5420
29,3,5420
29,31,5420
107,31,5420
29,3,5440
36,86,5440
7,0,5460
29,3,5460
36,40,5460
7,0,5480
86,35,5480
70,31,5480
29,31,5480
3,31,5480
70,31,5500
32,3,5500
77,7,5500
86,35,5500
29,3,5500
70,31,5520
32,76,5520
86,35,5520
70,28,5540
70,31,5540
29,76,5540
29,31,5540
8,36,5540
76,31,5540
64,107,5560
29,76,5560
70,31,5560
76,31,5560
32,28,5580
32,69,5580
1,2,5600
70,31,5600
29,31,5600
32,69,5620
32,73,5620
32,69,5640
8,2,5640
47,86,5660
8,2,5660
37,35,5660
29,31,5660
8,2,5680
37,35,5680
36,2,5680
8,2,5700
32,28,5720
32,85,5720
29,85,5720
47,86,5740
48,36,5740
29,85,5740
29,31,5740
85,31,5740
32,28,5760
29,85,5760
32,85,5780
32,104,5780
29,85,5780
104,28,5800
104,85,5800
104,31,5800
29,85,5800
85,31,5800
32,28,5820
32,85,5820
29,85,5820
86,46,5840
20,28,5860
104,28,5860
104,31,5860
29,31,5860
32,28,5880
32,104,5880
32,19,5880
20,28,5880
49,28,5880
47,86,5880
32,48,5900
32,28,5900
20,28,5900
47,86,5900
32,28,5920
32,48,5920
20,28,5920
49,28,5920
32,48,5940
32,28,5940
49,28,5940
32,28,5960
32,48,5960
49,79,5960
47,86,5960
29,79,5960
49,79,5980
49,31,5980
29,79,5980
79,31,5980
49,85,6000
49,104,6000
79,28,6000
79,31,6000
79,9,6000
79,28,6020
79,31,6020
79,9,6020
9,31,6020
32,9,6040
